Action,Date,Price,Capital
Buy,2019-06-20,2954.18,10209.000363823256
Buy,2019-06-21,2950.46,10207.736788359405
Buy,2019-06-24,2945.35,10206.088734844527
Buy,2019-06-25,2917.38,10197.536940782893
Buy,2019-06-26,2913.78,10196.488307734666
Buy,2019-06-27,2924.92,10199.54898327875
Buy,2019-06-28,2941.76,10204.362353118386
Buy,2019-07-01,2964.33,10211.04570580923
Buy,2019-07-02,2973.01,10213.698077574005
Buy,2019-07-03,2995.82,10220.907488134262
Buy,2019-07-05,2990.41,10219.149638561928
Buy,2019-07-08,2975.95,10214.675118757988
Buy,2019-07-09,2979.63,10215.760617844435
Buy,2019-07-10,2993.07,10219.868479114171
Buy,2019-07-11,2999.91,10222.024348415245
Buy,2019-07-12,3013.77,10226.53075770005
Buy,2019-07-15,3014.3,10226.70787603226
Buy,2019-07-16,3004.04,10223.17458944043
Buy,2019-07-17,2984.42,10216.696937278717
Buy,2019-07-18,2995.11,10220.085414097326
Buy,2019-07-19,2976.61,10214.05123882769
Buy,2019-07-22,2985.03,10216.687434441306
Buy,2019-07-23,3005.47,10223.277755372414
Buy,2019-07-24,3019.56,10227.93262716993
Buy,2019-07-25,3003.67,10222.550324799859
Buy,2019-07-26,3025.86,10229.78100241051
Buy,2019-07-29,3020.97,10228.151083281884
Buy,2019-07-30,3013.18,10225.66116031736
Buy,2019-07-31,2980.38,10215.61220244552
Buy,2019-08-01,2953.56,10207.68730698352
Buy,2019-08-02,2932.05,10201.577178246194
Buy,2019-08-05,2844.74,10177.812034730889
Buy,2019-08-06,2881.77,10187.65886673156
Buy,2019-08-07,2883.98,10188.261868969435
Buy,2019-08-08,2938.09,10203.554259339131
Buy,2019-08-09,2918.65,10197.965496127397
Buy,2019-08-12,2882.7,10188.04877562885
Buy,2019-08-13,2926.32,10199.636112635026
Buy,2019-08-14,2840.6,10176.354902541756
Buy,2019-08-15,2847.6,10178.215473955916
Buy,2019-08-16,2888.68,10189.510305005817
Buy,2019-08-19,2923.65,10199.331399082937
Buy,2019-08-20,2900.51,10192.689443872468
Buy,2019-08-21,2924.43,10199.29772467539
Buy,2019-08-22,2922.95,10198.878338486837
Buy,2019-08-23,2847.11,10178.332991230378
Buy,2019-08-26,2878.38,10186.613681126468
Buy,2019-08-27,2869.16,10184.1114061233
Buy,2019-08-28,2887.94,10188.98895196591
Buy,2019-08-29,2924.58,10198.782148248634
Buy,2019-08-30,2926.46,10199.295574325803
Buy,2019-09-03,2906.27,10193.607291238575
Buy,2019-09-04,2937.78,10202.159423587875
Buy,2019-09-05,2976.0,10212.761979770336
Buy,2019-09-06,2978.71,10213.527856172755
Buy,2019-09-09,2978.43,10213.446446224727
Buy,2019-09-10,2979.39,10213.714397445628
Buy,2019-09-11,3000.93,10219.903446885326
Buy,2019-09-12,3009.57,10222.440015887472
Buy,2019-09-13,3007.39,10221.784172317723
Buy,2019-09-16,2997.96,10219.052508567658
Buy,2019-09-17,3005.7,10221.21383563925
Buy,2019-09-18,3006.73,10221.509000955786
Buy,2019-09-19,3006.79,10221.526663387758
Buy,2019-09-20,2992.07,10217.078630842601
Buy,2019-09-23,2991.78,10216.9938288402
Buy,2019-09-24,2966.6,10209.90672047619
Buy,2019-09-25,2984.87,10214.88888702857
Buy,2019-09-26,2977.62,10212.866242013399
Buy,2019-09-27,2961.79,10208.610693363062
Buy,2019-09-30,2976.74,10212.489236838534
Buy,2019-10-01,2940.25,10202.782104117889
Buy,2019-10-02,2887.61,10189.179551325391
Buy,2019-10-03,2910.63,10194.981554496366
Buy,2019-10-04,2952.01,10205.661385095802
Buy,2019-10-07,2938.79,10202.191705113431
Buy,2019-10-08,2893.06,10190.61585393147
Buy,2019-10-09,2919.4,10197.105712315633
Buy,2019-10-10,2938.13,10201.826857989337
Buy,2019-10-11,2970.27,10210.125102059334
Buy,2019-10-14,2966.15,10209.041256161267
Buy,2019-10-15,2995.68,10216.522211674057
Buy,2019-10-16,2989.69,10214.97460513964
Buy,2019-10-17,2997.95,10217.030998086546
Buy,2019-10-18,2986.2,10214.027692972364
Buy,2019-10-21,3006.72,10219.090920468543
Buy,2019-10-22,2995.99,10216.382856690401
Buy,2019-10-23,3004.52,10218.460532559231
Buy,2019-10-24,3010.29,10219.903469252085
Buy,2019-10-25,3022.55,10223.050541876337
Buy,2019-10-28,3039.42,10227.482287851555
Buy,2019-10-29,3036.89,10226.80369053319
Buy,2019-10-30,3046.77,10229.363009706689
Buy,2019-10-31,3037.56,10226.921793703148
Buy,2019-11-01,3066.91,10234.450647492316
Buy,2019-11-04,3078.27,10237.415091998144
Buy,2019-11-05,3074.62,10236.441696064012
Buy,2019-11-06,3076.78,10236.9987736195
Buy,2019-11-07,3085.18,10239.21896617193
Buy,2019-11-08,3093.08,10241.353057510723
Buy,2019-11-11,3087.01,10239.678216331406
Buy,2019-11-12,3091.84,10240.970249665072
Buy,2019-11-13,3094.04,10241.571925799324
Buy,2019-11-14,3096.63,10242.296141728657
Buy,2019-11-15,3120.46,10249.103254951287
Buy,2019-11-18,3122.03,10249.55825269041
Buy,2019-11-19,3120.18,10249.01108955976
Buy,2019-11-20,3108.46,10245.644736407823
Buy,2019-11-21,3103.54,10244.269223421317
Buy,2019-11-22,3110.29,10246.10118608943
Buy,2019-11-25,3133.64,10252.567991650669
Buy,2019-11-26,3140.52,10254.501654477144
Buy,2019-11-27,3153.63,10258.25666221556
Buy,2019-11-29,3140.98,10254.573068470558
Buy,2019-12-02,3113.87,10246.876731218677
Buy,2019-12-03,3093.2,10241.134850814946
Buy,2019-12-04,3112.76,10246.438497072304
Buy,2019-12-05,3117.43,10247.725035822283
Buy,2019-12-06,3145.91,10255.726783948094
Buy,2019-12-09,3135.96,10252.897156704621
Buy,2019-12-10,3132.52,10251.944025864925
Buy,2019-12-11,3141.63,10254.397135827154
Buy,2019-12-12,3168.57,10261.786477147754
Buy,2019-12-13,3168.8,10261.850368703603
Buy,2019-12-16,3191.45,10268.268477987709
Buy,2019-12-17,3192.52,10268.575602419223
Buy,2019-12-18,3191.14,10268.172084356795
Buy,2019-12-19,3205.37,10272.223290728505
Buy,2019-12-20,3221.22,10276.80311067599
Buy,2019-12-23,3224.01,10277.620555195075
Buy,2019-12-24,3223.38,10277.432783780574
Buy,2019-12-26,3239.91,10282.233782129239
Buy,2019-12-27,3240.02,10282.266158142407
Buy,2019-12-30,3221.29,10276.656357304451
Buy,2019-12-31,3230.78,10279.441683410587
Buy,2020-01-02,3257.85,10287.505572352055
Buy,2020-01-03,3234.85,10280.588576168797
Buy,2020-01-06,3246.28,10283.962671924135
Buy,2020-01-07,3237.18,10281.238757666531
Buy,2020-01-08,3253.05,10285.883730782782
Buy,2020-01-09,3274.7,10292.301440204654
Buy,2020-01-10,3265.35,10289.499972957154
Buy,2020-01-13,3288.13,10296.1774097755
Buy,2020-01-14,3283.15,10294.702305571835
Buy,2020-01-15,3289.29,10296.479477040311
Buy,2020-01-16,3316.81,10304.56597721144
Buy,2020-01-17,3329.62,10308.363469994849
Buy,2020-01-21,3320.79,10305.712894446782
Buy,2020-01-22,3321.75,10305.99502098607
Buy,2020-01-23,3325.54,10307.126526047825
Buy,2020-01-24,3295.47,10298.016899552438
Buy,2020-01-27,3243.63,10282.545480489985
Buy,2020-01-28,3276.24,10292.188773080512
Buy,2020-01-29,3273.4,10291.343030346608
Buy,2020-01-30,3283.66,10294.329764591988
Buy,2020-01-31,3225.52,10277.17890819892
Buy,2020-02-03,3248.92,10284.031599052434
Buy,2020-02-04,3297.59,10298.421680910811
Buy,2020-02-05,3334.69,10309.416060010237
Buy,2020-02-06,3345.78,10312.719932867216
Buy,2020-02-07,3327.71,10307.271285802262
Buy,2020-02-10,3352.09,10314.495623541203
Buy,2020-02-11,3357.75,10316.187106882273
Buy,2020-02-12,3379.45,10322.758524640774
Buy,2020-02-13,3373.94,10321.075457885214
Buy,2020-02-14,3380.16,10322.937563701911
Buy,2020-02-18,3370.29,10319.944664308856
Buy,2020-02-19,3386.15,10324.663768196287
Buy,2020-02-20,3373.23,10320.779833405599
Buy,2020-02-21,3337.75,10310.30521996601
Buy,2020-02-24,3225.89,10277.684746256495
Buy,2020-02-25,3128.21,10248.94947070568
Buy,2020-02-26,3116.39,10245.453387269989
Buy,2020-02-27,2978.76,10205.529315535123
Buy,2020-02-28,2954.22,10198.281342142027
Buy,2020-03-02,3090.23,10237.811458325463
Buy,2020-03-03,3003.37,10213.17414735775
Buy,2020-03-04,3130.12,10249.21527170503
Buy,2020-03-05,3023.94,10219.651146912678
Buy,2020-03-06,2972.37,10205.176629228954
Buy,2020-03-09,2746.56,10142.315763503018
Buy,2020-03-10,2882.23,10181.956642369905
Buy,2020-03-11,2741.38,10141.88340415665
Sell,2020-03-12,2480.64,10217.698154381924
Sell,2020-03-13,2711.02,10141.783767746007
Sell,2020-03-16,2386.13,10236.67352508847
Sell,2020-03-17,2529.19,10187.899648937853
Sell,2020-03-18,2398.1,10228.853806774468
Sell,2020-03-19,2409.39,10225.05198912458
Sell,2020-03-20,2304.92,10259.212003043674
Sell,2020-03-23,2237.4,10282.783132710563
Sell,2020-03-24,2447.33,10205.786938831612
Sell,2020-03-25,2475.56,10196.613643684786
