Date_S&P500,S&P500,Bond_Rate
2019-07-26,3025.86,2.063
2019-07-25,3003.67,2.06
2019-07-24,3019.56,2.04
2019-07-23,3005.47,2.033
2019-07-22,2985.03,2.025
2019-07-19,2976.61,2.013
2019-07-18,2995.11,2.013
2019-07-17,2984.42,2.073
2019-07-16,3004.04,2.103
2019-07-15,3014.3,2.085
2019-07-12,3013.77,2.09
2019-07-11,2999.91,2.098
2019-07-10,2993.07,2.13
2019-07-09,2979.63,2.195
2019-07-08,2975.95,2.178
2019-07-05,2990.41,2.163
2019-07-03,2995.82,2.15
2019-07-02,2973.01,2.148
2019-07-01,2964.33,2.065
2019-06-28,2941.76,2.035
2019-06-27,2924.92,2.085
2019-06-26,2913.78,2.093
2019-06-25,2917.38,2.083
2019-06-24,2945.35,2.058
2019-06-21,2950.46,2.055
2019-06-20,2954.18,2.078
2019-06-19,2926.46,2.125
2019-06-18,2917.75,2.168
2019-06-17,2889.67,2.138
2019-06-14,2886.98,2.125
2019-06-13,2891.64,2.14
2019-06-12,2879.84,2.165
2019-06-11,2885.72,2.213
2019-06-10,2886.73,2.22
2019-06-07,2873.34,2.215
2019-06-06,2843.49,2.255
2019-06-05,2826.15,2.285
2019-06-04,2803.27,2.295
2019-06-03,2744.45,2.28
2019-05-31,2752.06,2.293
2019-05-30,2788.86,2.31
2019-05-29,2783.02,2.298
2019-05-28,2802.39,2.298
2019-05-24,2826.06,2.288
2019-05-23,2822.24,2.303
2019-05-22,2856.27,2.32
2019-05-21,2864.36,2.33
2019-05-20,2840.23,2.32
2019-05-17,2859.53,2.33
2019-05-16,2876.32,2.338
2019-05-15,2850.96,2.35
2019-05-14,2834.41,2.353
2019-05-13,2811.87,2.35
2019-05-10,2881.4,2.37
2019-05-09,2870.72,2.37
2019-05-08,2879.42,2.37
2019-05-07,2884.05,2.368
2019-05-06,2932.47,2.363
2019-05-03,2945.64,2.368
2019-05-02,2917.52,2.373
2019-05-01,2923.73,2.363
2019-04-30,2945.83,2.368
2019-04-29,2943.03,2.36
2019-04-26,2939.88,2.36
2019-04-25,2926.17,2.365
2019-04-24,2927.25,2.375
2019-04-23,2933.68,2.39
2019-04-22,2907.97,2.375
2019-04-18,2905.03,2.365
2019-04-17,2900.45,2.38
2019-04-16,2907.06,2.378
2019-04-15,2905.58,2.36
2019-04-12,2907.41,2.375
2019-04-11,2888.32,2.365
2019-04-10,2888.21,2.363
2019-04-09,2878.2,2.365
2019-04-08,2895.77,2.365
2019-04-05,2892.74,2.37
2019-04-04,2879.39,2.37
2019-04-03,2873.4,2.373
2019-04-02,2867.24,2.37
2019-04-01,2867.19,2.323
2019-03-29,2834.4,2.328
2019-03-28,2815.44,2.37
2019-03-27,2805.37,2.378
2019-03-26,2818.46,2.405
2019-03-25,2798.36,2.39
2019-03-22,2800.71,2.398
2019-03-21,2854.88,2.408
2019-03-20,2824.23,2.408
2019-03-19,2832.57,2.405
2019-03-18,2832.94,2.385
2019-03-15,2822.48,2.388
2019-03-14,2808.48,2.388
2019-03-13,2810.92,2.388
2019-03-12,2791.52,2.395
2019-03-11,2783.3,2.38
2019-03-08,2743.07,2.393
2019-03-07,2748.93,2.395
2019-03-06,2771.45,2.405
2019-03-05,2789.65,2.4
2019-03-04,2792.81,2.375
2019-03-01,2803.69,2.378
2019-02-28,2784.49,2.383
2019-02-27,2792.38,2.393
2019-02-26,2793.9,2.4
2019-02-25,2796.11,2.393
2019-02-22,2792.67,2.393
2019-02-21,2774.88,2.395
2019-02-20,2784.7,2.383
2019-02-19,2779.76,2.373
2019-02-15,2775.6,2.37
2019-02-14,2745.73,2.373
2019-02-13,2753.03,2.373
2019-02-12,2744.73,2.378
2019-02-11,2709.8,2.375
2019-02-08,2707.88,2.365
2019-02-07,2706.05,2.355
2019-02-06,2731.61,2.365
2019-02-05,2737.7,2.365
2019-02-04,2724.87,2.335
2019-02-01,2706.53,2.34
2019-01-31,2704.1,2.34
2019-01-30,2681.05,2.365
2019-01-29,2640.0,2.365
2019-01-28,2643.85,2.333
2019-01-25,2664.76,2.328
2019-01-24,2642.33,2.305
2019-01-23,2638.7,2.353
2019-01-22,2632.9,2.345
2019-01-18,2670.71,2.348
2019-01-17,2635.96,2.355
2019-01-16,2616.1,2.363
2019-01-15,2610.3,2.383
2019-01-14,2582.61,2.36
2019-01-11,2596.26,2.37
2019-01-10,2596.64,2.375
2019-01-09,2584.96,2.39
2019-01-08,2574.41,2.4
2019-01-07,2549.69,2.353
2019-01-04,2531.94,2.358
2019-01-03,2447.89,2.355
2019-01-02,2510.03,2.365
